date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1997-05-15,29.256,30.0,23.136,23.496,6013000,0.0979,,
1997-05-16,23.616,23.76,20.496,20.76,1225000,0.0865,-11.64,
1997-05-19,21.12,21.24,19.488,20.496,508900,0.0854,-1.27,
1997-05-20,20.76,21.0,19.632,19.632,455600,0.0818,-4.22,
1997-05-21,19.632,19.752,16.512,17.136,1571100,0.0714,-12.71,
1997-05-22,17.256,17.376,15.744,16.752,981400,0.0698,-2.24,
1997-05-23,16.872,18.24,16.008,18.0,1328100,0.075,7.45,
1997-05-27,18.12,19.752,17.496,19.008,724800,0.0792,5.6,
1997-05-28,19.488,19.632,18.384,18.384,381200,0.0766,-3.28,
1997-05-29,18.504,18.504,17.76,18.072,289400,0.0753,-1.7,
1997-05-30,18.0,18.12,17.76,18.0,216200,0.075,-0.4,
1997-06-02,18.12,18.384,18.0,18.12,49300,0.0755,0.67,
1997-06-03,18.384,18.384,17.76,17.76,98600,0.074,-1.99,
1997-06-04,17.76,17.88,16.752,16.992,256700,0.0708,-4.32,
1997-06-05,16.992,18.504,16.512,18.504,472700,0.0771,8.9,
1997-06-06,18.192,20.496,18.12,19.872,650600,0.0828,7.39,
1997-06-09,19.872,20.496,19.872,20.256,196000,0.0844,1.93,
1997-06-10,20.496,20.496,18.384,19.008,454900,0.0792,-6.16,
1997-06-11,19.128,19.248,18.384,18.504,99000,0.0771,-2.65,
1997-06-12,19.008,19.752,18.624,19.248,136000,0.0802,4.02,193302000.0
1997-06-13,19.488,19.488,19.008,19.008,57800,0.0792,-1.25,121839600.0
1997-06-16,19.248,19.248,18.744,18.864,76100,0.0786,-0.76,108052800.0
1997-06-17,19.176,19.176,17.928,18.072,392200,0.0753,-4.2,106652400.0
1997-06-18,18.24,18.432,18.0,18.12,205400,0.0755,0.27,103650000.0
1997-06-19,18.12,18.384,18.0,18.12,83600,0.0755,0.0,85800000.0
1997-06-20,18.384,18.624,18.0,18.312,282300,0.0763,1.06,77410800.0
1997-06-23,18.504,18.504,17.76,18.0,87300,0.075,-1.7,62521200.0
1997-06-24,18.072,18.312,17.76,18.12,62600,0.0755,0.67,54574800.0
1997-06-25,18.312,18.312,17.88,18.12,175500,0.0755,0.0,52106400.0
1997-06-26,18.24,18.24,18.072,18.12,265800,0.0755,0.0,51823200.0
1997-06-27,18.192,18.192,17.76,17.88,99000,0.0745,-1.32,50416800.0
1997-06-30,18.12,19.176,17.76,18.504,228900,0.0771,3.49,52572000.0
1997-07-01,18.504,18.504,18.12,18.192,107700,0.0758,-1.69,52681200.0
1997-07-02,18.192,19.128,18.12,19.056,323500,0.0794,4.75,53482800.0
1997-07-03,19.176,22.992,19.128,22.944,1048100,0.0956,20.4,60387600.0
1997-07-07,22.008,24.24,22.008,24.0,671100,0.1,4.6,60633600.0
1997-07-08,24.504,28.008,24.504,27.624,1293100,0.1151,15.1,73798800.0
1997-07-09,27.624,28.632,27.24,27.864,688500,0.1161,0.87,76602000.0
1997-07-10,28.008,30.864,28.008,30.744,754300,0.1281,10.34,84465600.0
1997-07-11,30.24,30.24,26.496,27.504,877600,0.1146,-10.54,93364800.0
1997-07-14,27.864,28.008,25.368,25.632,383700,0.1068,-6.81,97275600.0
1997-07-15,25.632,29.76,25.632,29.256,772900,0.1219,14.14,105637200.0
1997-07-16,29.376,29.928,27.624,28.008,252000,0.1167,-4.27,103954800.0
1997-07-17,28.128,28.128,25.872,26.616,264100,0.1109,-4.97,104659200.0
1997-07-18,26.256,26.616,25.872,25.872,65000,0.1078,-2.8,104436000.0
1997-07-21,26.136,26.376,25.752,26.184,47900,0.1091,1.21,101623200.0
1997-07-22,25.992,26.256,24.744,25.632,130300,0.1068,-2.11,102139200.0
1997-07-23,26.256,28.008,26.136,27.504,271600,0.1146,7.3,104647200.0
1997-07-24,27.624,27.744,26.616,27.12,101400,0.113,-1.4,103758000.0
1997-07-25,26.616,27.0,26.616,26.76,51700,0.1115,-1.33,101188800.0
1997-07-28,26.76,28.752,26.616,27.864,214500,0.1161,4.13,102574800.0
1997-07-29,28.368,30.0,28.008,29.76,401200,0.124,6.8,104642400.0
1997-07-30,30.0,30.072,29.136,29.376,209800,0.1224,-1.29,105867600.0
1997-07-31,29.256,29.256,28.008,28.752,121200,0.1198,-2.12,103440000.0
1997-08-01,28.128,28.992,27.0,28.992,299000,0.1208,0.83,94450800.0
1997-08-04,28.488,28.944,27.624,27.744,222600,0.1156,-4.3,89068800.0
1997-08-05,28.008,28.008,25.752,26.496,252700,0.1104,-4.5,76584000.0
1997-08-06,26.496,27.744,26.256,27.0,103600,0.1125,1.9,69565200.0
1997-08-07,27.0,27.12,25.512,26.136,169500,0.1089,-3.2,62547600.0
1997-08-08,25.992,27.624,25.248,27.504,184300,0.1146,5.23,54228000.0
1997-08-11,27.504,28.008,27.0,27.936,103300,0.1164,1.57,50863200.0
